time,N=2,N=20,N=100,N=500,N=1000
0.232,88.3026433252,85.7600089615,84.757539697,84.0529730389,83.9563611933
0.234,87.7389102398,85.1307630348,84.0655295351,83.3387039762,83.2376319145
0.236,86.1709050699,83.350264899,82.1405784007,81.3741817287,81.2654985867
0.238,84.8913744901,81.6563054329,80.1536868914,79.2819504495,79.151599846
0.24,85.0497247749,81.8769743145,80.4113307745,79.5507785052,79.4226490769
0.242,85.434981833,82.4098943102,81.0049044924,80.1535574281,80.0268766619
0.244,86.4569482084,83.6514073872,82.1767221963,81.2499923281,81.1066159679
0.246,87.7145977505,85.0391469078,83.4262855449,82.4680108315,82.3226161395
0.248,87.3273623165,84.6497296227,83.0828043036,82.1287440563,81.9836605893
0.25,86.5637148019,83.9270004153,82.4233358376,81.464661378,81.3180166003
0.252,85.244125802,82.5483601186,80.9849903722,79.9607134549,79.7999718845
0.254,84.4016087602,81.7084113075,80.1526853934,79.1268470419,78.9665956922
0.256,86.2093792844,83.727905676,82.356224018,81.4213401643,81.2797496379
0.258,84.7104113964,82.3629705174,81.2644527381,80.5319885141,80.4452884384
0.26,84.885400512,82.5400311097,81.4383456607,80.7044052505,80.6171583491
0.262,87.0248841617,84.7866873383,83.7256291237,82.9985155986,82.9096643332
0.264,88.6471198815,86.2414293728,84.9159827642,84.0281609354,83.8993776125
0.266,88.7237798153,86.2976602601,84.9535417898,84.0627200064,83.9339894674
0.268,88.0895840718,85.847351348,84.5631806125,83.6558518591,83.52319878
0.27,87.8234147479,85.6372410728,84.3505586574,83.4317411684,83.2967971628
0.272,87.3133142766,85.2302659769,83.9401905296,83.0119942127,82.8756286471
0.274,89.3485871639,87.1582995671,86.1020222121,85.2932491962,85.1803970725
0.276,89.0474476583,86.9507575952,85.9874266655,85.2932479588,85.1803958367
0.278,92.0652032237,89.3725629226,88.130078201,87.1309805601,87.0145737851
0.28,92.9297802946,89.7584637503,88.1300820344,87.13098435,87.01457757
0.282,93.2400442327,89.9408755949,88.238506882,87.2446099452,87.1291828378
0.284,93.8035734047,90.3313203516,88.5789574661,87.602452117,87.4900807469
