time,N=2,N=20,N=100,N=500,N=1000
0.37,86.1334725299,83.3974878444,82.0691100372,82.4271188724,82.8926258872
0.372,85.1192858391,82.6726387732,81.4681017064,81.8715356115,82.3666016666
0.374,84.5950221677,82.2144846096,81.0078091297,81.4127830202,81.9179255471
0.376,84.6417908439,82.2479025874,81.0285292732,81.4127832292,81.9179257575
0.378,85.8368607302,83.0147679107,81.5855654601,82.0498044962,82.5166425214
0.38,85.8714686419,83.0333964234,81.5965693916,82.0558733767,82.517884242
0.382,85.6378602014,82.8938483083,81.4711686134,81.9347706836,82.405509285
0.384,86.3615760943,83.3713617861,81.9379482512,82.3957120472,82.8471542084
0.386,85.7825286254,83.0979007154,81.8652475891,82.3957094611,82.8471516081
0.388,86.9507374019,83.70388494,82.3828435823,82.8955337462,83.3173116455
0.39,86.836814155,83.6711982263,82.3828430544,82.895533215,83.3173111116
0.392,86.5994571556,83.5811669543,82.2928432228,82.8087751036,83.2337569626
0.394,86.9433868856,83.7325241022,82.4520570989,82.9620417576,83.3816734529
0.396,85.975513727,83.4092959153,82.2813313018,82.9620367398,83.3816684097
0.398,85.3939224525,83.1122794014,81.9822061372,82.7012166253,83.1272402409
0.4,85.1615702624,82.9929262023,81.868193579,82.5997732102,83.0295939701
0.402,86.3393726039,83.4703320296,82.1557191678,82.7073063857,83.0296003856
0.404,85.9419412291,83.470329617,82.1557167933,82.5925964005,82.8198316637
0.406,86.9854918636,83.4703359058,82.4908041837,83.2043188806,83.5523111296
0.408,87.0611219646,83.4995927835,82.4908047078,83.2043194091,83.5523116603
0.41,86.8837590982,83.3925456667,82.4908035651,83.2043182566,83.552310503
0.412,86.8228216284,83.3593109098,82.4642518939,83.2043178548,83.5523100995
0.414,86.4605301269,83.0703574411,82.1636314841,83.0537944905,83.4275135066
0.416,86.6213991184,83.2354152203,82.353719082,83.1933844168,83.5568198921
0.418,86.7622036876,83.3934572059,82.535292655,83.3406870988,83.6973720046
0.42,87.8167581546,84.4813263436,83.6164419523,84.0886471232,84.3758489716
0.422,87.9174753934,84.5665122159,83.6790940667,84.1083912691,84.3764667721
0.424,88.5039522095,85.1189415417,84.1974372965,84.4814029188,84.6977672462
0.426,87.6431388044,84.3063898286,83.4277214518,83.8935611222,84.1601972067
0.428,87.2152840243,83.8655475826,82.9756015089,83.5103044896,83.7962343341
