S,V
105.442,0.0288997
104.774,0.0470927
104.537,0.0392999
104.762,0.0539824
104.556,0.0616101
103.964,0.0540949
105.281,0.0548324
105.242,0.0435744
105.354,0.0409879
106.311,0.0366553
105.903,0.0282094
105.688,0.027636
106.029,0.0243521
106.412,0.0168746
106.011,0.0260193
105.652,0.0320062
105.747,0.0378458
105.624,0.0366252
105.649,0.0493322
105.693,0.0545149
104.561,0.0818642
102.294,0.0811105
101.886,0.0771292
103.257,0.04105
102.886,0.0563705
103.08,0.0534376
104.853,0.044973
105.411,0.0469367
105.535,0.0403456
105.425,0.0416358
105.494,0.0444442
104.948,0.0597737
104.28,0.0713925
104.066,0.0697473
104.413,0.0659298
104.627,0.0573828
103.688,0.0790216
104.267,0.0714122
105.239,0.0561368
104.674,0.0709388
104.811,0.0564315
104.567,0.0549701
103.576,0.0607779
102.806,0.0782013
104.284,0.0620716
103.398,0.0674465
103.142,0.0445128
102.056,0.0608283
102.206,0.0697658
101.889,0.0662484
101.737,0.0488924
101.248,0.0753841
101.34,0.0512538
100.46,0.0622661
99.9666,0.0722499
99.9671,0.0628036
101.033,0.0504886
101.343,0.0636363
99.4758,0.0673382
98.4012,0.0843557
98.2726,0.0634712
100.279,0.0579133
101.413,0.0474919
101.923,0.0440275
101.564,0.0323545
101.647,0.0468564
100.455,0.0619361
100.796,0.0499637
99.6759,0.0483321
100.374,0.051011
99.5169,0.0595277
100.49,0.0400197
100.214,0.0565048
100.586,0.048612
100.131,0.065923
101.3,0.0684926
101.525,0.0521506
101.177,0.0543193
99.8523,0.0646661
100.082,0.0616645
99.6567,0.0624694
99.9031,0.056185
101.233,0.0449924
101.134,0.0495492
101.161,0.0445246
101.776,0.0378974
102.59,0.0280589
101.904,0.0505798
99.8945,0.060964
101.051,0.0385909
100.577,0.0485898
100.64,0.0410535
100.804,0.0331722
101.311,0.0418762
102.267,0.0472523
101.979,0.050167
103.407,0.0379731
104.345,0.0279725
105.21,0.0406214
103.888,0.0468415
104.044,0.039979
105.243,0.0477885
104.697,0.0675776
103.825,0.056263
103.072,0.0750951
103.147,0.0799096
104.03,0.078461
105.206,0.0420738
105.236,0.0561573
105.151,0.0510108
105.733,0.0402765
106.919,0.0400751
106.413,0.0335852
106.621,0.0412382
107.184,0.0371636
107.677,0.0392667
107.29,0.0496297
107.678,0.03031
107.806,0.028071
107.476,0.0353476
107.22,0.0348507
107.683,0.0355013
106.52,0.0368317
106.593,0.046324
106.041,0.0564108
105.474,0.0520888
104.998,0.070304
105.945,0.0395398
105.202,0.0411393
104.941,0.0533968
106.029,0.0306912
106.066,0.0394076
105.868,0.0488314
105.396,0.0338145
104.41,0.0417244
103.074,0.0569961
104.361,0.0382143
103.589,0.0553547
102.474,0.0427513
102.501,0.0431147
102.204,0.0473946
102.119,0.0489223
103.015,0.0345731
103.421,0.0457364
102.987,0.0619225
102.352,0.0452592
102.027,0.0421083
102.104,0.039834
101.597,0.0483576
101.656,0.0548615
101.129,0.0586786
101.524,0.0381509
103.075,0.0374284
103.271,0.0402376
102.354,0.0414845
100.988,0.0470611
99.6889,0.0362747
98.6533,0.0454947
98.6669,0.0516445
98.5727,0.0391474
97.6983,0.0506707
98.3664,0.0253149
99.1262,0.0294325
99.6124,0.0269756
100.281,0.0459557
99.7136,0.0429865
99.3924,0.0456186
100.406,0.0532918
99.7316,0.0514443
100.352,0.0373913
100.521,0.0415446
99.5806,0.0440231
99.8768,0.043256
99.4292,0.0541952
99.2475,0.0560227
99.3722,0.0640098
99.3725,0.0587485
98.3812,0.0653767
98.0385,0.0549953
97.3727,0.0632943
99.5461,0.0337311
99.2414,0.0372964
99.6241,0.018596
99.4105,0.0270813
100.496,0.0283234
99.6361,0.0514617
100.693,0.0573147
101.056,0.024341
100.981,0.0302446
101.485,0.024753
102.034,0.0299831
102.753,0.0231597
103.085,0.0273852
103.438,0.0354294
102.972,0.0353741
102.039,0.042879
101.98,0.0426272
102.587,0.0315469
103.399,0.0238586
103.384,0.0260486
103.137,0.0148492
103.001,0.0311575
103.349,0.0218975
104.438,0.0161776
104.419,0.0208719
104.84,0.0244568
105.027,0.0257107
106.528,0.0163427
106.661,0.0217035
107.151,0.0260285
107.106,0.0235698
107.549,0.02432
107.298,0.0225804
106.906,0.0341315
107.129,0.0330056
106.509,0.0236437
106.899,0.0218937
106.746,0.0301672
106.399,0.0329035
107.334,0.0250281
107.498,0.0320563
107.451,0.0269085
107.585,0.0256477
108.34,0.0251478
107.466,0.0319004
108.096,0.0226671
108.378,0.0264903
108.015,0.0376379
108.075,0.0459933
106.95,0.0587877
107.468,0.0676444
108.616,0.0543158
109.288,0.043393
108.739,0.0408482
108.226,0.0525334
107.499,0.0682438
105.769,0.0743111
105.988,0.0639813
105.772,0.0798262
104.399,0.0770814
104.786,0.0709026
105.434,0.0569629
106.807,0.0606629
105.934,0.0573663
106.683,0.0687105
106.954,0.0728399
106.397,0.0697717
105.506,0.076518
105.002,0.0946175
104.372,0.0822356
104.339,0.0763504
105.453,0.0780168
106.021,0.073974
106.392,0.0533756
107.306,0.0465528
107.163,0.066677
107.553,0.0570311
107.679,0.0389961
108.813,0.0428113
110.08,0.0352665
109.748,0.0501544
109.241,0.0481782
109.543,0.0477444
109.156,0.0518266
108.631,0.0548093
109.14,0.0566139
110.567,0.0369338
111.362,0.0398372
111.68,0.0398109
111.807,0.050547
111.559,0.0488211
113.095,0.0366225
113.395,0.0413464
112.868,0.0431908
112.545,0.0504439
112.392,0.0565596
113.021,0.0403157
113.962,0.0247511
114.516,0.0279209
114.381,0.0357929
112.967,0.0555297
113.983,0.0482622
114.884,0.0496198
114.571,0.0497349
114.4,0.049399
114.205,0.0602124
114.938,0.043091
114.445,0.0481719
112.606,0.0547131
113.447,0.0733371
112.986,0.0688397
111.605,0.0860297
112.553,0.0634037
112.513,0.0687684
113.725,0.0599635
113.581,0.0460545
112.904,0.0599573
111.125,0.0646243
111.217,0.0572583
111.682,0.0519575
112.577,0.0406391
111.503,0.0545913
112.317,0.0416674
112.137,0.0475085
113.194,0.0492859
114.113,0.0271568
113.79,0.0333813
113.68,0.041258
113.468,0.054212
113.505,0.0468918
113.925,0.0641487
114.63,0.0614447
114.539,0.0452868
115.117,0.0571296
115.575,0.0430815
114.986,0.0462368
115.714,0.0279137
115.364,0.0346912
115.168,0.0472657
114.584,0.0417654
113.638,0.06213
113.78,0.0493412
113.19,0.0463603
113.233,0.0599245
112.486,0.0640397
112.889,0.0713082
112.83,0.061628
112.003,0.0647883
111.125,0.0707775
110.116,0.0910792
109.071,0.0689905
107.811,0.0740535
109.968,0.0589899
109.269,0.0706847
107.755,0.0867787
106.755,0.0778199
107.152,0.0804199
107.213,0.0534503
106.606,0.0696862
105.663,0.0752867
105.405,0.0784786
105.046,0.0851639
104.67,0.0809032
105.518,0.0547706
106.306,0.0663756
107.077,0.0437808
107.795,0.0542429
107.759,0.0654987
108.335,0.0689772
108.291,0.0528855
106.533,0.0676405
106.81,0.0598189
106.64,0.054367
106.753,0.0294455
107.805,0.036279
108.3,0.0464068
106.744,0.0487435
106.155,0.0563139
105.318,0.0684798
105.727,0.0523294
105.744,0.044438
104.704,0.0690054
103.576,0.0808384
103.282,0.08372
103.16,0.0796922
102.344,0.0661116
103.064,0.0735999
101.501,0.0757196
102.287,0.0528413
102.711,0.0601053
102.548,0.0571597
101.385,0.072632
100.714,0.0709292
101.259,0.0645908
101.361,0.0727436
101.495,0.0613079
