S,V
69.4887,0.117533
69.4213,0.123989
69.4726,0.117151
69.9236,0.0942685
70.6828,0.0794932
71.2062,0.0801594
71.7312,0.0640127
70.9979,0.098961
71.232,0.0900525
71.0003,0.0988387
71.1765,0.087605
70.7574,0.0997278
71.6157,0.0764748
70.205,0.100855
69.7825,0.117397
70.0631,0.105769
69.8523,0.0854839
70.5571,0.100109
71.0614,0.0884503
71.5933,0.0966432
72.7549,0.0677467
72.8187,0.0728596
72.9597,0.0728465
72.8177,0.0690075
73.5605,0.0686294
74.2656,0.0782027
75.4862,0.0760431
75.3803,0.0754786
75.3382,0.0755029
75.5096,0.0587006
75.3594,0.0738301
75.3712,0.0535984
75.6061,0.0476178
75.7186,0.0569659
76.4416,0.0426021
75.9859,0.0584708
76.0413,0.0652787
75.7007,0.0883005
75.9042,0.0616868
77.3001,0.0634378
76.3488,0.11252
75.3443,0.103387
77.2629,0.0723183
77.2465,0.0690527
76.6033,0.0736301
75.5961,0.105947
75.6614,0.0922189
75.4296,0.0915522
73.918,0.125782
74.3139,0.112205
73.6594,0.116942
74.5815,0.117105
73.6174,0.107912
73.7867,0.0844239
73.54,0.0942968
73.2087,0.124784
73.0461,0.116639
71.4898,0.156018
72.0355,0.123639
70.9946,0.128691
69.697,0.139431
69.3536,0.143681
70.2244,0.114243
69.0729,0.115621
70.6067,0.0850831
70.8429,0.081228
70.2432,0.106727
70.371,0.0881681
71.2647,0.0863047
71.013,0.083573
69.8566,0.135464
68.7371,0.0989273
68.4354,0.119745
67.713,0.113848
66.729,0.135006
66.0114,0.122494
65.6595,0.0828143
65.1957,0.0995098
65.0355,0.0983507
64.3567,0.105688
64.385,0.087571
64.254,0.076118
64.2304,0.103856
64.3455,0.072115
63.9107,0.0964447
63.3598,0.0960442
62.9455,0.0935591
63.9609,0.0867831
63.0467,0.101338
63.4152,0.126996
63.3663,0.12638
63.1199,0.123672
62.7824,0.134878
63.4896,0.123489
64.2185,0.129426
65.3743,0.0933266
65.5652,0.108551
65.4542,0.114597
65.1934,0.107505
65.2454,0.124911
65.2858,0.121063
63.7585,0.125352
64.23,0.125624
